Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
BENTON COUNTY HISTORICAL SOCIETY,BENTON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,43298
BETSY-TACY SOCIETY,BETSY-TACY SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,51965
BLANK CANVAS GALLERY AND EDUCATION CENTER,BLANK CANVAS ARTS RESOURCE CENTER,ART MUSEUM,MN,4,TRUE,2013,3750
BLOOMINGTON HISTORICAL SOCIETY,BLOOMINGTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
BLUE EARTH COUNTY HISTORICAL SOCIETY,BLUE EARTH COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,238686
BLUFF COUNTRY ARTISTS GALLERY,BLUFF COUNTRY ARTISTS GALLERY,ART MUSEUM,MN,4,TRUE,2013,25540
BRANDON HISTORY AND INFORMATION CENTER,BRANDON HISTORY AND INFORMATION CENTER,HISTORIC PRESERVATION,MN,4,FALSE,2013,4438
BROOKLYN HISTORICAL SOCIETY,BROOKLYN HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
BROWN COUNTY MUSEUM,BROWN COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,553228
BUENA VISTA LOGGING HERITAGE MUSEUM,BUENA VISTA LOGGING HERITAGE MUSEUM,GENERAL MUSEUM,MN,4,TRUE,2013,0
CANTON HISTORICAL SOCIETY,CANTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,140803
CARLETON ART GALLERY,CARLETON COLLEGE,ART MUSEUM,MN,4,TRUE,2013,361056706
CARLETON COLLEGE COWLING ARBORETUM,CARLETON COLLEGE,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",MN,4,FALSE,2013,361056706
CARLTON COUNTY HISTORICAL SOCIETY,CARLTON COUNTY HISTORICAL SOCIETY FOUNDATION INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,23756
CARVER COUNTY HISTORICAL SOCIETY,CARVER COUNTY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,1110430
CASS COUNTY HISTORICAL SOCIETY,CASS COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,177968
CHANHASSEN HISTORICAL SOCIETY,CHANHASSEN HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
CHASKA HISTORICAL SOCIETY,CHASKA HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
CHILDREN'S MUSEUM OF SOUTHERN MINNESOTA,CHILDRENS MUSEUM OF SOUTHERN MINNESOTA,CHILDREN'S MUSEUM,MN,4,TRUE,2013,2638552
CHIPPEWA COUNTY HISTORICAL SOCIETY,CHIPPEWA COUNTY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,415024
CHISAGO COUNTY HISTORICAL SOCIETY,CHISAGO COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,45436
CHISHOLM VETERANS MEMORIAL ASSOCIATION,CHISHOLM VETERANS MEMORIAL ASSOCIATION INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
CHRISTIE HOME HISTORICAL SOCIETY,CHRISTIE HOME HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
CLAY COUNTY HISTORICAL SOCIETY,HISTORICAL AND CULTURAL SOCIETY OF CLAY COUNTY,HISTORIC PRESERVATION,MN,4,FALSE,2013,944830
CLEARWATER COUNTY HISTORICAL SOCIETY,CLEARWATER COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,179342
CLEARWATER COUNTY HISTORY CENTER,CLEARWATER COUNTY HISTORICAL SOCIETY,GENERAL MUSEUM,MN,4,TRUE,2013,179342
COKATO HISTORICAL SOCIETY,COKATO HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
COLD SPRING AREA HISTORICAL SOCIETY,COLD SPRING AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,2031
COMMUNITY HISTORICAL SOCIETY,COMMUNITY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,33677
COMO ZOO AND CONSERVATORY SOCIETY,COMO FRIENDS,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",MN,4,FALSE,2013,2353689
CORNUCOPIA ART CENTER,LANESBORO ARTS CENTER,ART MUSEUM,MN,4,TRUE,2013,837209
CROSSLAKE AREA HISTORICAL SOCIETY,CROSSLAKE AREA HISTORICAL SOCIETY C/O DONALD H ENGEN,HISTORIC PRESERVATION,MN,4,FALSE,2013,14224
CROW RIVER PLAYERS,CROW RIVER PLAYERS INC,GENERAL MUSEUM,MN,4,TRUE,2013,0
CROW WING COUNTY HISTORICAL SOCIETY,CROW WING COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,72495
DAKOTA COUNTY HISTORICAL SOCIETY,DAKOTA COUNTY HISTORICAL SOCIETY INC DAKOTA COUNTY MUSEUM,HISTORIC PRESERVATION,MN,4,FALSE,2013,249379
DARVAN ACRES NATURE CENTER,DARVAN ACRES NATURE CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",MN,4,FALSE,2013,0
DASSEL AREA HISTORICAL SOCIETY,DASSEL AREA HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,48109
DEEPHAVEN HISTORICAL SOCIETY,DEEPHAVEN HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
DEER RIVER WHITE OAK SOCIETY,DEER RIVER WHITE OAK SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
DENLER GALLERY,UNIVERSITY OF NORTHWESTERN-ST PAUL,ART MUSEUM,MN,4,TRUE,2013,88153004
DENMARK TOWNSHIP HISTORICAL SOCIETY,DENMARK TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,49734
DEPOT COMMONS ASSOCIATION OF GRAND RAPIDS,DEPOT COMMONS ASSOCIATION OF GRAND RAPIDS,HISTORIC PRESERVATION,MN,4,FALSE,2013,125840
DEPOT PRESERVATION ALLIANCE,DEPOT PRESERVATION ALLIANCE,HISTORY MUSEUM,MN,4,TRUE,2013,38931
DEWEY-RADKE,FRIENDS OF THE DEWEY-RADKE INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
DODGE COUNTY HISTORICAL SOCIETY,DODGE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,37186
DOUGLAS COUNTY HISTORICAL SOCIETY,DOUGLAS COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,1540444
DULUTH AVIATION INSTITUTE,DULUTH AVIATION INSTITUTE,GENERAL MUSEUM,MN,4,TRUE,2013,67513
EDINA HISTORICAL SOCIETY,EDINA HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,85468
ELY-WINTON HISTORICAL SOCIETY,ELY-WINTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,29558
FARM BY THE LAKE,FARM BY THE LAKE,GENERAL MUSEUM,MN,4,TRUE,2013,25865
FARMINGTON AREA VETERANS MEMORIAL,FARMINGTON AREA VETERANS MEMORIAL,HISTORIC PRESERVATION,MN,4,FALSE,2013,39909
FILLMORE COUNTY HISTORICAL SOCIETY,FILLMORE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,140600
FINN CREEK MUSEUM,MINNESOTA FINNISH AMERICAN HISTORICAL SOCIETY CHAPTER 13,GENERAL MUSEUM,MN,4,TRUE,2013,0
